# TSIS-1 Hybrid Solar Reference Spectrum (HSRS) v1 — B11 + B12 wavelength ranges.
# Source: Coddington et al. 2021, Geophys. Res. Lett. 48, e2020GL091709 (doi:10.1029/2020GL091709).
#   Downloaded from LASP LISIRD (lasp.colorado.edu/lisird/data/tsis1_hsrs) via the LaTiS CSV API
#   on 2026-07-07. Ranges: 1530-1690 nm (B11) and 2070-2330 nm (B12); native 0.001 nm resolution
#   decimated to ~0.02 nm here (the CH4 fine structure comes from HITRAN, not the solar envelope).
# irradiance is solar spectral irradiance E_lambda in W/m^2/nm at 1 AU. The LUT generator converts
#   the SHAPE to per-wavenumber E_nu via the lambda^2 Jacobian (E_nu ∝ E_lambda·lambda^2) before use.
# wavelength in nm; irradiance in W m^-2 nm^-1.
wavelength_nm,irradiance_w_m2_nm
1545.200,2.742397e-01
1545.220,2.742364e-01
1545.240,2.742277e-01
1545.260,2.742190e-01
1545.280,2.742075e-01
1545.300,2.741961e-01
1545.320,2.741823e-01
1545.340,2.741213e-01
1545.360,2.734578e-01
1545.380,2.734773e-01
1545.400,2.740722e-01
1545.420,2.740768e-01
1545.440,2.739934e-01
1545.460,2.734381e-01
1545.480,2.708248e-01
1545.500,2.723184e-01
1545.520,2.718943e-01
1545.540,2.591900e-01
1545.560,2.534601e-01
1545.580,2.690064e-01
1545.600,2.679205e-01
1545.620,2.615141e-01
1545.640,2.692431e-01
1545.660,2.720807e-01
1545.680,2.730179e-01
1545.700,2.734301e-01
1545.720,2.736371e-01
1545.740,2.737459e-01
1545.760,2.737985e-01
1545.780,2.738022e-01
1545.800,2.737374e-01
1545.820,2.734660e-01
1545.840,2.720988e-01
1545.860,2.720458e-01
1545.880,2.734583e-01
1545.900,2.737467e-01
1545.920,2.738273e-01
1545.940,2.738395e-01
1545.960,2.734127e-01
1545.980,2.710678e-01
1546.000,2.713456e-01
1546.020,2.728707e-01
1546.040,2.727428e-01
1546.060,2.727781e-01
1546.080,2.736223e-01
1546.100,2.735514e-01
1546.120,2.733073e-01
1546.140,2.727052e-01
1546.160,2.706203e-01
1546.180,2.700691e-01
1546.200,2.724411e-01
1546.220,2.730273e-01
1546.240,2.730156e-01
1546.260,2.720861e-01
1546.280,2.679345e-01
1546.300,2.694767e-01
1546.320,2.689921e-01
1546.340,2.497150e-01
1546.360,2.303822e-01
1546.380,2.614083e-01
1546.400,2.715954e-01
1546.420,2.716971e-01
1546.440,2.658723e-01
1546.460,2.716930e-01
1546.480,2.733966e-01
1546.500,2.733942e-01
1546.520,2.718118e-01
1546.540,2.722275e-01
1546.560,2.735155e-01
1546.580,2.736301e-01
1546.600,2.734848e-01
1546.620,2.720145e-01
1546.640,2.716651e-01
1546.660,2.689708e-01
1546.680,2.719386e-01
1546.700,2.735676e-01
1546.720,2.735165e-01
1546.740,2.726557e-01
1546.760,2.735353e-01
1546.780,2.728585e-01
1546.800,2.705531e-01
1546.820,2.727431e-01
1546.840,2.720658e-01
1546.860,2.725928e-01
1546.880,2.734806e-01
1546.900,2.735099e-01
1546.920,2.735007e-01
1546.940,2.734897e-01
1546.960,2.734810e-01
1546.980,2.734668e-01
1547.000,2.734368e-01
1547.020,2.730168e-01
1547.040,2.673413e-01
1547.060,2.692673e-01
1547.080,2.731863e-01
1547.100,2.733626e-01
1547.120,2.733417e-01
1547.140,2.732982e-01
1547.160,2.732262e-01
1547.180,2.730966e-01
1547.200,2.728192e-01
1547.220,2.720606e-01
1547.240,2.698572e-01
1547.260,2.679186e-01
1547.280,2.702532e-01
