# Sentinel-2 MSI B11/B12 spectral response functions (S2A + S2B), normalized.
# Source: ESA "Sentinel-2 Spectral Response Functions (S2-SRF)",
#   document COPE-GSEG-EOPG-TN-15-0007, issue 3.2 (2022-... , 10 Oct 2023 rev).
#   Downloaded from SentiWiki (sentiwiki.copernicus.eu/web/s2-documents) on 2026-07-06.
# Extracted from sheets 'Spectral Responses (S2A/S2B)', columns SR_WL, *_B11, *_B12.
# Rows restricted to wavelengths where any B11/B12 response is nonzero.
# wavelength in nm; response dimensionless (already normalized to peak 1 by ESA).
wavelength_nm,s2a_b11,s2a_b12,s2b_b11,s2b_b12
2278,0,0.79182917,0,0.4006232
2279,0,0.7724052,0,0.35430248
2280,0,0.74907137,0,0.30995212
2281,0,0.72031195,0,0.26941268
2282,0,0.68815487,0,0.23418861
2283,0,0.65125598,0,0.20232924
2284,0,0.6100244,0,0.17373524
2285,0,0.56600904,0,0.14941215
2286,0,0.52095058,0,0.1290062
2287,0,0.47464344,0,0.11157271
2288,0,0.42924778,0,0.09693492
2289,0,0.38584718,0,0.08490613
2290,0,0.34208462,0,0.07409041
2291,0,0.30067509,0,0.06449244
2292,0,0.26317221,0,0.056343
2293,0,0.22770037,0,0.0493999
2294,0,0.19571781,0,0.04321207
2295,0,0.16808736,0,0.03800099
2296,0,0.14467686,0,0.03348242
2297,0,0.12482737,0,0.02900748
2298,0,0.10823403,0,0.0251013
2299,0,0.09439655,0,0.02003645
2300,0,0.08235799,0,0.01384563
2301,0,0.07149445,0,0.00850471
2302,0,0.0626855,0,0.00443484
2303,0,0.05498009,0,0.00085324
2304,0,0.04818852,0,0
2305,0,0.04285814,0,0
2306,0,0.03859244,0,0
2307,0,0.03494044,0,0
2308,0,0.03199172,0,0
2309,0,0.02958044,0,0
2310,0,0.02741084,0,0
2311,0,0.02556884,0,0
2312,0,0.02395058,0,0
2313,0,0.02166741,0,0
2314,0,0.0191457,0,0
2315,0,0.01632139,0,0
2316,0,0.0109837,0,0
2317,0,0.00736032,0,0
2318,0,0.00649061,0,0
2319,0,0.00469736,0,0
2320,0,0.00205874,0,0
